review_text,review_title,rating,date,platform,app_version,language,thumbs_up_count,review_id,source_app,source_package,source_method
best trading app,,5,2026-09-19,play_store,,en,0,b7b25bee-8f99-4a49-bdb6-03e8cb6b9f1c,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
update to volume candle in function in treding view application .,,3,2026-09-19,play_store,18.17.3,en,2,59bc79ce-4a07-4614-af1e-c58cbdf08e0f,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
super,,5,2026-09-19,play_store,18.17.3,en,0,82e7f479-7957-40c9-ac43-9de873d8d5a9,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
"it's èasy ,user friendly and it's charges are costly.",,4,2026-09-19,play_store,18.16.1,en,0,44e920cf-5a36-4105-ad9d-ab81e072bee6,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
Indus very nice,,5,2026-09-19,play_store,18.17.3,en,0,1ab2b500-cdd9-41d6-a94e-b7248e2be4eb,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
Don't Install ever. Fake Promise.I can't withdraw my money from my wallet and other than how I can say it deserves in mobile space.,,1,2026-09-19,play_store,18.16.1,en,0,170b1207-195c-4ab8-b422-8e9133b66aba,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
very good,,5,2026-09-19,play_store,18.16.1,en,0,ec4948d2-17bd-4192-83b7-7b20f479d85d,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nice 👍,,3,2026-09-19,play_store,,en,0,5deda810-9d59-40b3-9cdc-1472adfbabdf,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good,,5,2026-09-19,play_store,18.16.1,en,0,a1990d1d-a929-4320-a64c-c14ecc465fb3,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good 👍,,5,2026-09-19,play_store,18.17.3,en,0,17b2e861-c8d1-40dc-b8f5-99bd9af442cf,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
very good app. A user friendly app. I like the app very much. One more things should be inducted in the app which is OPEN INTEREST AND CHANGE IN OPEN INTEREST BAR should be available for option trading.,,5,2026-09-19,play_store,18.17.3,en,0,79a5db6d-edcf-4de7-9448-976ba2baa5bf,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
awasome app,,5,2026-09-19,play_store,18.16.1,en,0,abfa537a-e9fe-46f5-a569-ae2fd97edad5,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
"updated 19sep26 latest experience. Incorrect external fund Investment values & useless support ​Groww's external fund import is broken. It defaults to displaying the date-of-import value as invested amount, ruining portfolio accuracy. CAS statements show correct data, yet Groww fails to parse it. Support tickets are closed with canned, automated replies without resolving the issue. Basic portfolio filtering and sorting tools are missing. Importing funds is useless if invested values are wrong.",,1,2026-09-19,play_store,18.17.3,en,4,54937f05-0997-4ce6-9df6-a27bbfab9093,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
sometimes it lag,,4,2026-09-19,play_store,18.17.3,en,0,f5d85309-e146-4572-9f7d-87e6f3eec9ac,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nice app,,5,2026-09-19,play_store,18.17.3,en,0,9e39a574-f7b0-4451-8698-45d2b692626e,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
very good,,5,2026-09-19,play_store,18.17.3,en,0,c2bfda5e-51f4-49bb-8865-826fe83fa0f9,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good 👍,,5,2026-09-19,play_store,18.13.2,en,0,4df3f94a-92d9-4e6b-9d22-295e7b8afef9,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
world class...... amazing,,5,2026-09-19,play_store,18.15.1,en,0,8ef85ac0-c4f5-4b58-9ea0-4fe4b46202af,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
bahut achcha hai,,5,2026-09-19,play_store,18.17.3,en,0,de1a2543-c571-4471-b79e-c35d7934f713,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
😭😭😭😭😭😭,,5,2026-09-19,play_store,18.17.3,en,0,d76b39d7-44eb-4016-ae72-285279f67752,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good,,5,2026-09-19,play_store,18.17.3,en,0,113ca783-ebb8-4632-a4bc-7db75a8fd63b,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
"they should improve 1 thing, the account money in groww should be able to transfer in bank account on saturday and sunday!",,1,2026-09-19,play_store,,en,1,cd40ff58-c114-4208-9fa2-38b56dde2557,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
very good,,5,2026-09-19,play_store,18.17.3,en,0,2ecf85f8-33ca-41f9-ac48-9e3e7a537477,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
that's good app and support,,4,2026-09-19,play_store,18.16.1,en,0,9c327f72-be98-426c-bfba-f15f45b0baf6,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good,,5,2026-09-19,play_store,18.17.3,en,0,8df2d67d-7727-46ce-a485-fced5efefac0,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nice,,5,2026-09-19,play_store,18.17.3,en,0,7810165f-4f52-4bc9-a13d-ab175bc4d90f,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
Good charts and basic research tools: Useful for someone who wants to manage investments without a complicated interface,,5,2026-09-19,play_store,18.17.3,en,0,c2db32b1-6c93-4043-9f11-768c879b14c7,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good,,5,2026-09-19,play_store,18.16.1,en,0,5319484b-3c40-45bc-a4c6-5c655828e4f8,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
☺️,,5,2026-09-19,play_store,18.17.3,en,0,46b735a7-f964-4673-93e2-eea1c6732f75,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good,,5,2026-09-19,play_store,18.16.1,en,0,a91d2e99-4308-415e-b4f5-b97b41331e81,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
"Big name, small vision 3rd class quality, compare to other",,1,2026-09-19,play_store,18.17.3,en,0,e552ef66-4b7a-4b9d-bc8e-4e324206b374,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
this is best investment platform,,5,2026-09-19,play_store,18.16.1,en,0,4ce0c48a-e516-4056-8f09-19a5d13507d0,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good application and program,,5,2026-09-19,play_store,18.13.2,en,0,9c7f1092-f26c-4964-ad88-db8ecd32ac75,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
osm,,5,2026-09-19,play_store,18.17.3,en,0,dce9384b-76f6-4471-a853-f4f62e9de038,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
Nice,,5,2026-09-19,play_store,18.16.1,en,0,d00f96b2-6dc3-4d63-b2de-2c3929287500,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
super 👍,,5,2026-09-19,play_store,18.13.2,en,0,189e347e-1b3e-4a63-982e-36483eb7196c,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nice user friendly,,5,2026-09-19,play_store,18.17.3,en,0,927f867c-0ba5-4cac-ab69-dedaaf1c2ccf,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nice,,5,2026-09-19,play_store,18.17.3,en,0,eb4be67a-86d7-47ce-8a3b-ee0c471933d6,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
ok,,5,2026-09-19,play_store,18.17.3,en,0,26f03f69-3b66-43b2-b6e4-75d5b068a02b,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good app,,5,2026-09-19,play_store,18.17.3,en,0,e5c1f7a8-303f-4ef0-b67f-e161f6a6bffd,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good,,5,2026-09-19,play_store,18.14.1,en,0,940e98ad-a6bf-4c33-a094-10631fa79798,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good 👍🏻,,5,2026-09-19,play_store,18.17.3,en,0,9e398a92-4e92-497c-8ee8-d49e405bee75,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good well,,5,2026-09-19,play_store,18.14.1,en,0,37208b7e-dc04-4a6a-84fb-68a7c67f9ca4,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
Very easy to handle,,5,2026-09-19,play_store,18.17.3,en,0,c4949e0f-e9f8-4787-ad9a-9e5726265005,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
user friendly,,5,2026-09-19,play_store,18.16.1,en,0,1b805ed8-46ef-4a37-9053-d477584a81d7,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nice,,5,2026-09-19,play_store,18.17.3,en,0,e3f4d5c4-164f-453f-b170-feff98951d5f,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nice,,5,2026-09-19,play_store,17.95.2,en,0,3d7ae7ec-dccf-4579-a80a-524d7618816d,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
osmosis app,,5,2026-09-19,play_store,18.4.3,en,0,75c128f1-de20-4211-81aa-726d1919c66e,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
very nice,,5,2026-09-19,play_store,18.17.3,en,0,73d6f7a7-79fc-4745-a184-f62db96fb735,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
